4095	4095	0	3761	3571	25
0	0	256	10	2	191
256	0	256	210	3	192
512	0	256	417	5	191
768	0	256	636	6	192
1024	0	256	852	8	193
1280	0	256	1064	9	193
1536	0	256	1281	11	193
1792	0	256	1505	12	193
2048	0	256	1725	14	193
2303	0	256	1934	15	193
2559	0	256	2180	16	193
2815	0	256	2401	17	192
3071	0	256	2623	18	192
3327	0	256	2840	20	192
3583	0	256	3062	21	192
3839	0	256	3297	22	192
4095	0	256	3520	23	191
0	256	256	27	212	189
256	256	256	231	217	193
512	256	256	443	219	193
768	256	256	665	222	193
1024	256	256	881	224	194
1280	256	256	1095	226	195
1536	256	256	1317	227	195
1792	256	256	1542	229	194
2048	256	256	1761	230	194
2303	256	256	1975	231	193
2559	256	256	2224	233	193
2815	256	256	2442	234	194
3071	256	256	2665	236	200
3327	256	256	2884	237	200
3583	256	256	3111	238	200
3839	256	256	3343	238	200
4095	256	256	3568	241	200
0	512	256	45	418	199
256	512	256	251	424	201
512	512	256	461	427	201
768	512	256	684	428	202
1024	512	256	902	431	203
1280	512	256	1118	433	203
1536	512	256	1339	435	202
1792	512	256	1563	437	201
2048	512	256	1783	440	202
2303	512	256	2000	443	202
2559	512	256	2249	443	202
2815	512	256	2464	446	202
3071	512	256	2688	447	202
3327	512	256	2904	449	202
3583	512	256	3134	450	202
3839	512	256	3367	452	202
4095	512	256	3592	453	201
0	768	256	64	642	202
256	768	256	270	650	205
512	768	256	482	652	205
768	768	256	706	656	205
1024	768	256	923	657	204
1280	768	256	1138	658	205
1536	768	256	1362	661	204
1792	768	256	1587	663	204
2048	768	256	1804	666	204
2303	768	256	2022	667	205
2559	768	256	2269	670	204
2815	768	256	2487	673	204
3071	768	256	2710	674	204
3327	768	256	2926	677	203
3583	768	256	3157	679	203
3839	768	256	3388	681	203
4095	768	256	3612	682	203
0	1024	256	81	859	205
256	1024	256	289	867	207
512	1024	256	503	871	207
768	1024	256	725	873	207
1024	1024	256	942	875	207
1280	1024	256	1158	877	207
1536	1024	256	1384	879	207
1792	1024	256	1607	882	207
2048	1024	256	1823	884	207
2303	1024	256	2046	887	207
2559	1024	256	2289	888	207
2815	1024	256	2507	891	206
3071	1024	256	2732	892	206
3327	1024	256	2948	895	206
